fea1,fea2,fea3,fea4,ans
4.8591021748033754e-06,5.920876409819533e-06,1.958984475857454e-05,1.1827060338736268e-05,0.3992
8.188950593204234e-07,2.311808137828142e-07,1.5091476295477134e-05,6.627563880710051e-06,0.3992
4.684138670913765e-06,3.4244261654633937e-06,6.4129650924174156e-06,7.279070181209886e-06,0.3992
2.2461909209405868e-06,9.073050542335293e-07,1.3240346524998346e-05,3.0425278291718652e-06,0.3992
1.812343071361459e-06,4.633194037155435e-06,1.8014402130012087e-05,3.5638964931445065e-06,0.3992
3.967631161898161e-06,4.861095375280632e-06,5.917723505478851e-06,9.618115869997745e-06,0.3992
3.2782129903213513e-06,1.6130314862989801e-06,3.3180849564696773e-06,1.5655817332003445e-06,0.3992
2.714755612676672e-06,1.4263614615293677e-06,1.6355251219580398e-06,6.182877667954923e-06,0.3992
8.19926914326448e-07,2.2879424166799365e-06,3.04230695478875e-06,1.991043694918238e-06,0.3992
4.681931797788784e-06,3.5556290838748402e-06,1.2574239842472943e-05,3.407330437436948e-06,0.3992
7.125708400331046e-06,4.879944829422634e-06,1.716263488520966e-05,6.9947279193334645e-06,0.3992
3.166560546115285e-06,3.438861835763621e-06,8.809664753822389e-06,6.4571094741825075e-06,0.3992
8.514241956042662e-07,1.0869206439455005e-06,3.995973909442122e-06,3.3474883591876506e-07,0.3992
2.3907049035050764e-06,2.076976090373007e-06,1.0774442988180005e-06,3.6345775783479417e-06,0.3992
5.853081227932029e-06,3.105701986139803e-06,4.3279139958505995e-06,4.634133185870759e-06,0.3992
6.542816200157856e-06,5.4201836459995676e-06,6.341117240028431e-06,3.5855001115040616e-06,0.3992
2.0309700428561594e-06,2.7071709212374157e-06,3.7319504179864512e-06,5.4167621993199805e-08,0.3992
2.285348585479335e-06,2.1413011601421395e-06,2.15014321708368e-06,2.0530711485866544e-06,0.3992
1.7070554382041776e-06,2.86606277077866e-06,5.4919242422851955e-06,2.796577050542631e-06,0.3992
3.333898270981293e-06,4.086684076095847e-06,8.2586550982778e-06,4.3431289204885625e-06,0.3992
3.165064093349129e-06,2.6853765742088344e-06,1.2808648779061673e-06,1.176076176856587e-06,0.3992
1.832247251614562e-06,1.8515391932619235e-06,2.2725431701596182e-06,1.977515977782992e-06,0.3992
4.16763214715153e-06,1.914343985686876e-06,4.047884750751031e-06,3.826446389446724e-06,0.3992
3.94764293136385e-06,3.939419331664515e-06,7.989183925354201e-06,4.280717781143751e-06,0.3992
2.66855205795661e-06,1.794018156208732e-06,3.4758663585078113e-06,3.787105150831463e-06,0.3992
1.4848275853829501e-06,1.4522722008512762e-06,1.857340844816947e-06,2.0469394668803066e-06,0.3992
